,gv2_demand,hsb_demand,pfa_demand,ser_demand,T_WB,v0,v1,obj_func
0,499.1,300.0,49.99999999999999,0.0,22.47434912,277.4682076263428,841.0958848893642,100000
1,499.1,300.0,59.999999999999986,0.0,22.47434912,279.0,675.4669573158026,100000
2,104.39889910000002,200.0,49.99999999999999,0.0,22.47434912,279.0,908.7367445230484,100000
3,16.484036699999972,300.0,49.99999999999999,0.0,22.07528905,278.8036962890625,779.8809386789799,100000
4,14.65247706,200.0,49.99999999999999,0.0,20.53862231,279.0,1000.0,100000
5,16.484036699999972,200.0,59.999999999999986,0.0,19.01665621,279.0,1000.0,100000
6,14.65247706,200.0,40.0,0.0,18.45060888,279.0,1000.0,100000
7,16.484036699999972,200.0,49.99999999999999,430.0,19.39113708,279.0,752.0202994346619,37328.18947333937
8,815.0440367000001,300.0,420.0,360.0,19.84464425,277.6016025352478,637.1398277580738,4700.230414293483
9,499.1,200.0,340.0,340.0,22.09284342,278.0053670310974,869.2705646157265,23512.353711645126
10,998.2,300.0,370.0,300.0,23.2820209,275.95802135467534,958.3349138498306,2494.508516100755
11,1497.3,200.0,390.0,390.0,23.2820209,275.63491539001467,974.643874168396,100000
12,1996.4,300.0,420.0,360.0,23.78992925,275.16,488.548743724823,100000
13,1497.3,300.0,430.0,370.0,23.78992925,275.16,450.0,100000
14,1996.4,200.0,400.0,350.0,24.22544387,276.14971029281617,827.3842945694923,100000
15,1996.4,300.0,470.0,370.0,24.22544387,275.16,729.2291298508644,100000
16,1996.4,200.0,470.0,380.0,23.78992925,276.450297203064,718.4414401650429,100000
17,1996.4,300.0,420.0,370.0,23.78992925,275.16,856.8398624658585,100000
18,1996.4,200.0,440.0,360.0,23.78992925,277.5325853347778,730.5291876196861,100000
19,1497.3,300.0,410.0,340.0,23.78992925,275.16,580.4792553186417,100000
20,1996.4,400.0,340.0,320.0,23.44221012,275.16,595.5385118722916,100000
21,1996.4,200.0,90.0,19.99999999999999,23.44221012,279.0,882.0264041423798,12553.140504347668
22,1996.4,300.0,80.0,0.0,23.44221012,278.36968460083006,733.7377801537514,100000
23,998.2,300.0,59.999999999999986,0.0,23.44221012,276.7682324409485,716.3456801325083,100000
